is_error,is_post_error,is_complete,cue1,cue2,release1,release2,choice,drop,delay,condition,rt_bar2red,rt_red2cue,rt_cueon_to_cue1,rt_release1,rt_cue1_to_cue2,rt_release2,filename
0,0,1,yellow,purple,0,1,1,2,5,2,,,0.759999999999991,NaN,1.10800000000006,0.423999999999978,T131007
0,0,1,purple,,1,0,1,2,10,3,,,1.3850000000001,0.532999999999902,NaN,NaN,T131007
0,0,1,purple,,1,0,1,6,5,8,,,1.07799999999997,0.383000000000038,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,6,10,9,,,2.0100000000001,NaN,1.11199999999997,0.423000000000002,T131007
0,0,1,purple,,1,0,1,4,5,5,,,1.072,0.635999999999967,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.71299999999997,NaN,1.10400000000004,0.341999999999985,T131007
0,0,1,purple,,1,0,1,6,1,7,,,1.39499999999998,0.326000000000022,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.697,NaN,1.10700000000008,0.315999999999917,T131007
1,0,0,yellow,purple,0,0,NaN,6,10,9,,,0.759999999999991,NaN,1.1099999999999,NaN,T131007
0,1,1,yellow,,1,0,0,6,10,9,,,2.01199999999994,0.728000000000065,NaN,NaN,T131007
0,0,1,purple,,1,0,1,4,1,4,,,1.69799999999987,0.326000000000022,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,2,5,2,,,1.07799999999997,NaN,1.10400000000004,0.395999999999958,T131007
0,0,1,purple,,1,0,1,4,1,4,,,1.39499999999998,0.308999999999969,NaN,NaN,T131007
0,0,1,purple,,1,0,1,4,10,6,,,0.759999999999991,0.532999999999902,NaN,NaN,T131007
0,0,1,purple,,1,0,1,6,1,7,,,1.39499999999998,0.336000000000013,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,2,1,1,,,0.759999999999991,NaN,1.10899999999992,0.484000000000151,T131007
1,0,0,yellow,purple,0,0,NaN,6,10,9,,,2.01099999999997,NaN,1.1110000000001,NaN,T131007
0,1,1,yellow,purple,0,1,1,6,10,9,,,1.71100000000001,NaN,1.10500000000002,0.551000000000158,T131007
0,0,1,purple,,1,0,1,2,10,3,,,0.760000000000218,0.369999999999891,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,6,10,9,,,1.07300000000009,NaN,1.11400000000003,0.474999999999909,T131007
0,0,1,purple,,1,0,1,2,1,1,,,1.38499999999999,0.353000000000065,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,4,5,5,,,2.01199999999994,NaN,1.10400000000004,0.413999999999987,T131007
0,0,1,purple,,1,0,1,2,1,1,,,1.07799999999997,0.400000000000091,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.07199999999989,NaN,1.11500000000001,0.301999999999907,T131007
0,0,1,yellow,,1,0,0,2,10,3,,,1.69699999999989,0.455999999999904,NaN,NaN,T131007
1,0,0,purple,yellow,0,0,NaN,6,5,8,,,0.760999999999967,NaN,1.10400000000004,NaN,T131007
0,1,1,purple,,1,0,1,6,5,8,,,1.38499999999999,0.616999999999962,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,4,1,4,,,2.01299999999992,NaN,1.10400000000004,0.330999999999904,T131007
0,0,1,yellow,purple,0,1,1,6,5,8,,,2.01300000000015,NaN,1.10400000000004,0.102999999999838,T131007
0,0,1,yellow,purple,0,1,1,6,10,9,,,0.759999999999991,NaN,1.10400000000004,0.373000000000047,T131007
0,0,1,purple,,1,0,1,6,5,8,,,1.39499999999998,0.438000000000102,NaN,NaN,T131007
0,0,1,purple,,1,0,1,2,1,1,,,1.69699999999989,0.339000000000169,NaN,NaN,T131007
0,0,1,purple,yellow,0,1,0,2,10,3,,,2.01299999999992,NaN,1.10400000000004,0.255999999999858,T131007
0,0,1,purple,,1,0,1,2,10,3,,,1.39400000000001,0.329999999999927,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.38499999999999,NaN,1.12000000000012,0.418999999999869,T131007
0,0,1,yellow,,1,0,0,2,5,2,,,1.69699999999989,0.6400000000001,NaN,NaN,T131007
0,0,1,purple,,1,0,1,4,5,5,,,0.761000000000195,0.697999999999865,NaN,NaN,T131007
1,0,0,,,0,0,NaN,2,5,2,,,NaN,NaN,NaN,NaN,T131007
0,1,1,yellow,,1,0,0,2,5,2,,,1.07799999999997,0.371000000000095,NaN,NaN,T131007
0,0,1,purple,,1,0,1,6,5,8,,,1.38599999999997,0.460000000000036,NaN,NaN,T131007
0,0,1,purple,,1,0,1,4,10,6,,,2.01299999999992,0.350999999999885,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,4,10,6,,,1.07200000000012,NaN,1.11500000000001,0.520999999999958,T131007
0,0,1,yellow,purple,0,1,1,4,10,6,,,1.69700000000012,NaN,1.10799999999995,0.363000000000056,T131007
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.38499999999999,NaN,1.11799999999994,0.297000000000025,T131007
0,0,1,yellow,purple,0,1,1,4,1,4,,,2.00999999999999,NaN,1.1110000000001,0.319999999999936,T131007
0,0,1,purple,,1,0,1,4,5,5,,,1.38499999999999,0.521999999999935,NaN,NaN,T131007
0,0,1,purple,,1,0,1,4,1,4,,,0.760999999999967,0.428000000000111,NaN,NaN,T131007
0,0,1,purple,,1,0,1,2,5,2,,,1.07199999999989,0.409000000000106,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,4,10,6,,,0.777000000000044,NaN,1.10400000000004,0.461000000000013,T131007
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.71299999999997,NaN,1.10500000000002,0.371000000000095,T131007
0,0,1,purple,,1,0,1,2,1,1,,,2.01299999999992,0.361000000000104,NaN,NaN,T131007
0,0,1,purple,,1,0,1,6,10,9,,,0.759999999999991,0.69399999999996,NaN,NaN,T131007
0,0,1,purple,,1,0,1,4,1,4,,,1.39499999999998,0.320999999999913,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.69600000000014,NaN,1.10799999999995,0.508000000000038,T131007
1,0,0,purple,yellow,0,0,NaN,4,10,6,,,1.38400000000001,NaN,1.11900000000014,NaN,T131007
1,1,0,purple,yellow,0,0,NaN,4,10,6,,,0.777000000000044,NaN,1.10400000000004,NaN,T131007
0,1,1,purple,,1,0,1,4,10,6,,,1.38499999999999,0.569999999999936,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.0780000000002,NaN,1.10399999999981,0.421000000000049,T131007
0,0,1,purple,,1,0,1,2,5,2,,,2.01299999999992,0.185999999999922,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.07099999999991,NaN,1.11400000000003,0.726000000000113,T131007
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.69699999999989,NaN,1.1070000000002,0.347999999999956,T131007
1,0,0,,,0,0,NaN,4,10,6,,,NaN,NaN,NaN,NaN,T131007
0,1,1,purple,,1,0,1,4,10,6,,,1.71199999999999,0.397000000000162,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,6,1,7,,,0.760999999999967,NaN,1.10899999999992,0.356999999999971,T131007
0,0,1,yellow,purple,0,1,1,2,5,2,,,2.00999999999999,NaN,1.11200000000008,1.00400000000013,T131007
0,0,1,purple,,1,0,1,4,5,5,,,1.69699999999989,0.468000000000075,NaN,NaN,T131007
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.07899999999995,NaN,1.10400000000004,0.340000000000146,T131007
