is_error,is_post_error,is_complete,cue1,cue2,release1,release2,choice,drop,delay,condition,rt_bar2red,rt_red2cue,rt_cueon_to_cue1,rt_release1,rt_cue1_to_cue2,rt_release2,filename
1,0,0,yellow,purple,0,0,NaN,4,10,6,,,0.767866666666666,NaN,1.11883333333333,NaN,S160704
0,1,1,yellow,,1,0,0,4,10,6,,,1.3858,0.408033333333336,NaN,NaN,S160704
0,0,1,purple,,1,0,1,6,1,7,,,1.08483333333334,0.663899999999998,NaN,NaN,S160704
0,0,1,yellow,purple,0,1,1,4,5,5,,,2.01973333333333,NaN,1.11883333333333,0.345933333333335,S160704
0,0,1,purple,,1,0,1,6,1,7,,,1.08486666666667,0.712866666666663,NaN,NaN,S160704
0,0,1,yellow,,1,0,0,2,10,3,,,1.70273333333333,0.360066666666661,NaN,NaN,S160704
0,0,1,yellow,,1,0,0,2,10,3,,,1.38483333333333,0.406033333333333,NaN,NaN,S160704
0,0,1,yellow,,1,0,0,6,10,9,,,1.70273333333333,0.379066666666667,NaN,NaN,S160704
0,0,1,purple,yellow,0,1,0,2,5,2,,,0.766866666666665,NaN,1.11886666666667,0.350033333333336,S160704
0,0,1,yellow,purple,0,1,1,6,1,7,,,2.0197,NaN,1.11883333333333,0.309966666666661,S160704
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.70273333333333,NaN,1.11883333333334,0.850899999999996,S160704
0,0,1,purple,yellow,0,1,0,4,10,6,,,1.08483333333334,NaN,1.11883333333334,0.345066666666668,S160704
0,0,1,purple,yellow,0,1,0,2,5,2,,,1.3858,NaN,1.11883333333333,0.368066666666664,S160704
0,0,1,purple,yellow,0,1,0,2,10,3,,,0.766899999999993,NaN,1.11883333333334,0.353066666666663,S160704
0,0,1,purple,,1,0,1,4,5,5,,,1.3848,0.5959,NaN,NaN,S160704
0,0,1,yellow,purple,0,1,1,2,1,1,,,0.766900000000007,NaN,1.11883333333333,0.501933333333326,S160704
0,0,1,purple,,1,0,1,4,5,5,,,2.0197,0.688900000000004,NaN,NaN,S160704
0,0,1,yellow,,1,0,0,6,10,9,,,1.70176666666667,0.308033333333327,NaN,NaN,S160704
0,0,1,purple,yellow,0,1,0,2,5,2,,,0.767899999999997,NaN,1.11883333333333,0.311066666666662,S160704
0,0,1,purple,,1,0,1,4,1,4,,,1.08486666666666,0.428933333333333,NaN,NaN,S160704
0,0,1,yellow,purple,0,1,1,2,10,3,,,1.3848,NaN,1.11883333333333,0.284933333333342,S160704
0,0,1,yellow,purple,0,1,1,4,5,5,,,2.0197,NaN,1.11883333333333,0.270966666666652,S160704
0,0,1,purple,,1,0,1,2,5,2,,,1.08383333333333,0.674900000000008,NaN,NaN,S160704
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.0849,NaN,1.11879999999999,0.359933333333345,S160704
1,0,0,,,0,0,NaN,2,5,2,,,NaN,NaN,NaN,NaN,S160704
0,1,1,purple,yellow,0,1,0,2,5,2,,,1.70173333333332,NaN,1.11883333333333,0.29606666666669,S160704
