is_error,is_post_error,is_complete,cue1,cue2,release1,release2,choice,drop,delay,condition,rt_bar2red,rt_red2cue,rt_cueon_to_cue1,rt_release1,rt_cue1_to_cue2,rt_release2,filename
0,1,1,yellow,purple,0,1,1,6,5,8,,,0.766899999999623,NaN,1.11883333333299,0.426933333333182,S160719
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.38479999999981,NaN,1.11883333333299,0.390933333334033,S160719
0,0,1,purple,,1,0,1,6,1,7,,,1.70273333333353,0.341966666666849,NaN,NaN,S160719
0,0,1,purple,,1,0,1,4,5,5,,,1.38479999999981,0.453933333333225,NaN,NaN,S160719
0,0,1,purple,yellow,0,1,0,2,10,3,,,0.766899999999623,NaN,1.1188333333339,0.332133333333331,S160719
0,0,1,yellow,,1,0,0,2,5,2,,,1.40180000000055,0.35013333333336,NaN,NaN,S160719
0,0,1,purple,,1,0,1,4,1,4,,,1.08383333333313,0.517933333333531,NaN,NaN,S160719
0,0,1,yellow,purple,0,1,1,6,1,7,,,2.01970000000074,NaN,1.11883333333299,0.395933333333232,S160719
0,0,1,purple,,1,0,1,2,5,2,,,1.08483333333334,0.475900000000365,NaN,NaN,S160719
0,0,1,purple,,1,0,1,2,10,3,,,1.70173333333332,0.562933333333604,NaN,NaN,S160719
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.38479999999981,NaN,1.11883333333299,0.381966666666813,S160719
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.70176666666612,NaN,1.1188333333339,0.344933333332847,S160719
0,0,1,purple,yellow,0,1,0,2,10,3,,,0.766900000000533,NaN,1.11883333333299,0.330166666666628,S160719
0,0,1,purple,,1,0,1,4,5,5,,,2.01973333333262,0.458933333333334,NaN,NaN,S160719
0,0,1,purple,yellow,0,1,0,4,10,6,,,1.70176666666612,NaN,1.1188333333339,0.373166666666293,S160719
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.08486666666613,NaN,1.1188333333339,0.385933333333014,S160719
0,0,1,purple,,1,0,1,6,10,9,,,1.38479999999981,0.98586666666688,NaN,NaN,S160719
0,0,1,purple,,1,0,1,2,1,1,,,0.767866666667032,0.462966666666944,NaN,NaN,S160719
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.38580000000002,NaN,1.11886666666669,0.487900000000081,S160719
0,0,1,purple,yellow,0,1,0,4,10,6,,,0.766866666665919,NaN,1.1188333333339,0.366166666666686,S160719
0,0,1,purple,,1,0,1,4,5,5,,,2.01973333333353,0.41093333333265,NaN,NaN,S160719
1,0,0,yellow,purple,0,0,NaN,4,10,6,,,1.70173333333332,NaN,1.11883333333299,NaN,S160719
