is_error,is_post_error,is_complete,cue1,cue2,release1,release2,choice,drop,delay,condition,rt_bar2red,rt_red2cue,rt_cueon_to_cue1,rt_release1,rt_cue1_to_cue2,rt_release2,filename
0,0,1,purple,,1,0,1,4,1,4,,,0.760000000000005,0.417000000000002,NaN,NaN,T130924
1,0,0,,,0,0,NaN,6,1,7,,,NaN,NaN,NaN,NaN,T130924
0,1,1,purple,,1,0,1,6,1,7,,,1.38500000000001,0.316999999999993,NaN,NaN,T130924
0,0,1,purple,,1,0,1,6,10,9,,,1.078,0.352999999999994,NaN,NaN,T130924
0,0,1,yellow,purple,0,1,1,2,1,1,,,2.01100000000001,NaN,1.11199999999999,0.310000000000002,T130924
0,0,1,purple,,1,0,1,6,1,7,,,1.072,0.311999999999998,NaN,NaN,T130924
0,0,1,purple,,1,0,1,6,5,8,,,1.71199999999999,0.475999999999999,NaN,NaN,T130924
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.38499999999999,NaN,1.11800000000002,0.301999999999992,T130924
0,0,1,yellow,,1,0,0,2,5,2,,,1.697,0.431000000000012,NaN,NaN,T130924
1,0,0,purple,yellow,0,0,NaN,4,10,6,,,0.761000000000024,NaN,1.10399999999998,NaN,T130924
0,1,1,purple,,1,0,1,4,10,6,,,2.00999999999999,0.383999999999986,NaN,NaN,T130924
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.71200000000002,NaN,1.10399999999998,0.350999999999999,T130924
0,0,1,purple,,1,0,1,2,10,3,,,1.078,0.414999999999992,NaN,NaN,T130924
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.386,NaN,1.11800000000002,0.296999999999997,T130924
0,0,1,yellow,purple,0,1,1,4,10,6,,,0.760000000000019,NaN,1.10999999999999,0.371000000000009,T130924
0,0,1,purple,,1,0,1,4,1,4,,,1.38499999999999,0.341000000000008,NaN,NaN,T130924
0,0,1,yellow,purple,0,1,1,6,10,9,,,0.761000000000024,NaN,1.10399999999998,0.367999999999995,T130924
0,0,1,purple,,1,0,1,4,1,4,,,2.012,0.316000000000003,NaN,NaN,T130924
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.697,NaN,1.107,0.316000000000003,T130924
0,0,1,yellow,purple,0,1,1,2,5,2,,,0.759999999999991,NaN,1.108,0.350999999999999,T130924
0,0,1,purple,,1,0,1,2,5,2,,,1.072,0.349000000000046,NaN,NaN,T130924
0,0,1,yellow,purple,0,1,1,4,1,4,,,1.39600000000002,NaN,1.10300000000001,0.324000000000012,T130924
0,0,1,yellow,purple,0,1,1,2,1,1,,,2.01300000000003,NaN,1.10399999999998,0.293000000000006,T130924
0,0,1,purple,,1,0,1,2,10,3,,,1.077,0.35899999999998,NaN,NaN,T130924
0,0,1,purple,,1,0,1,6,1,7,,,1.072,0.363999999999976,NaN,NaN,T130924
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.71300000000002,NaN,1.10399999999998,0.345000000000027,T130924
0,0,1,yellow,purple,0,1,1,2,1,1,,,0.760999999999967,NaN,1.10400000000004,0.33299999999997,T130924
0,0,1,purple,,1,0,1,2,5,2,,,1.39599999999996,0.30600000000004,NaN,NaN,T130924
0,0,1,yellow,purple,0,1,1,6,5,8,,,2.00900000000001,NaN,1.11200000000002,0.299999999999955,T130924
1,0,0,,,0,0,NaN,2,10,3,,,NaN,NaN,NaN,NaN,T130924
0,1,1,yellow,purple,0,1,1,2,10,3,,,0.761000000000024,NaN,1.10499999999996,0.367000000000019,T130924
0,0,1,purple,,1,0,1,6,5,8,,,1.39499999999998,0.341999999999985,NaN,NaN,T130924
