is_error,is_post_error,is_complete,cue1,cue2,release1,release2,choice,drop,delay,condition,rt_bar2red,rt_red2cue,rt_cueon_to_cue1,rt_release1,rt_cue1_to_cue2,rt_release2,filename
0,0,1,yellow,purple,0,1,1,2,5,2,,,0.759999999999991,NaN,1.10899999999992,0.378000000000043,T130925
0,0,1,yellow,purple,0,1,1,6,10,9,,,1.38499999999999,NaN,1.11900000000003,0.335000000000036,T130925
0,0,1,purple,,1,0,1,4,1,4,,,1.072,0.343999999999937,NaN,NaN,T130925
0,0,1,purple,,1,0,1,6,10,9,,,2.01200000000006,0.576000000000022,NaN,NaN,T130925
0,0,1,purple,,1,0,1,4,1,4,,,1.072,0.30600000000004,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.71299999999997,NaN,1.10500000000002,0.317999999999984,T130925
0,0,1,purple,,1,0,1,4,1,4,,,1.39599999999996,0.294999999999959,NaN,NaN,T130925
0,0,1,purple,,1,0,1,6,5,8,,,1.697,0.45900000000006,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,2,1,1,,,0.759999999999991,NaN,1.10400000000004,0.30499999999995,T130925
1,0,0,,,0,0,NaN,6,10,9,,,NaN,NaN,NaN,NaN,T130925
0,1,1,yellow,,1,0,0,6,10,9,,,2.00999999999999,0.749000000000024,NaN,NaN,T130925
0,0,1,purple,,1,0,1,4,1,4,,,1.71199999999999,0.296000000000049,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.072,NaN,1.11400000000003,0.471000000000004,T130925
0,0,1,purple,,1,0,1,6,10,9,,,1.38599999999997,0.449000000000069,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,2,1,1,,,0.761000000000081,NaN,1.10399999999993,0.287000000000035,T130925
0,0,1,purple,,1,0,1,4,10,6,,,1.39400000000001,0.346000000000004,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,4,5,5,,,0.760999999999967,NaN,1.10800000000006,0.347999999999956,T130925
0,0,1,yellow,purple,0,1,1,6,1,7,,,2.01100000000008,NaN,1.11099999999999,0.317000000000007,T130925
0,0,1,purple,,1,0,1,4,10,6,,,1.697,0.66700000000003,NaN,NaN,T130925
0,0,1,yellow,,1,0,0,2,10,3,,,0.760999999999967,0.347000000000094,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,2,5,2,,,1.072,NaN,1.11500000000001,0.363999999999919,T130925
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.38599999999997,NaN,1.11900000000003,0.317000000000007,T130925
0,0,1,purple,,1,0,1,2,1,1,,,2.00999999999999,0.31899999999996,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.07799999999997,NaN,1.10400000000004,0.351999999999975,T130925
0,0,1,purple,,1,0,1,2,10,3,,,1.07900000000006,0.319999999999936,NaN,NaN,T130925
0,0,1,purple,,1,0,1,2,10,3,,,1.697,0.307999999999993,NaN,NaN,T130925
0,0,1,purple,,1,0,1,4,1,4,,,0.759999999999991,0.353999999999928,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.38499999999999,NaN,1.11900000000003,0.307999999999993,T130925
0,0,1,yellow,,1,0,0,6,10,9,,,2.01099999999997,0.682000000000016,NaN,NaN,T130925
0,0,1,purple,,1,0,1,6,5,8,,,2.01299999999992,0.458000000000084,NaN,NaN,T130925
0,0,1,purple,,1,0,1,4,10,6,,,0.759999999999991,0.52800000000002,NaN,NaN,T130925
1,0,0,,,0,0,NaN,2,10,3,,,NaN,NaN,NaN,NaN,T130925
0,1,1,purple,,1,0,1,2,10,3,,,1.697,0.154999999999973,NaN,NaN,T130925
1,0,0,,,0,0,NaN,2,10,3,,,NaN,NaN,NaN,NaN,T130925
0,1,1,yellow,,1,0,0,2,10,3,,,1.3839999999999,0.246000000000095,NaN,NaN,T130925
0,0,1,purple,,1,0,1,6,1,7,,,1.39599999999996,0.301000000000045,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.69799999999998,NaN,1.10700000000008,0.302999999999997,T130925
0,0,1,purple,,1,0,1,4,5,5,,,0.761000000000081,0.490000000000009,NaN,NaN,T130925
0,0,1,yellow,,1,0,0,2,5,2,,,1.71199999999999,0.141999999999939,NaN,NaN,T130925
0,0,1,purple,,1,0,1,4,5,5,,,1.072,0.400999999999954,NaN,NaN,T130925
1,0,0,,,0,0,NaN,4,10,6,,,NaN,NaN,NaN,NaN,T130925
0,1,1,purple,,1,0,1,4,10,6,,,2.01099999999997,0.307999999999993,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,4,10,6,,,1.077,NaN,1.10400000000004,0.30499999999995,T130925
0,0,1,purple,,1,0,1,2,5,2,,,1.71199999999999,0.361999999999966,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.38599999999997,NaN,1.11900000000003,0.278999999999996,T130925
1,0,0,,,0,0,NaN,2,5,2,,,NaN,NaN,NaN,NaN,T130925
0,1,1,yellow,,1,0,0,2,5,2,,,1.39599999999996,0.147000000000048,NaN,NaN,T130925
0,0,1,purple,,1,0,1,6,1,7,,,0.760999999999967,0.317999999999984,NaN,NaN,T130925
0,0,1,purple,,1,0,1,4,5,5,,,1.077,0.440000000000055,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,6,5,8,,,0.759999999999991,NaN,1.11000000000013,0.52599999999984,T130925
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.69699999999989,NaN,1.10799999999995,0.316000000000031,T130925
0,0,1,yellow,,1,0,0,6,10,9,,,2.00999999999999,0.589999999999918,NaN,NaN,T130925
0,0,1,purple,yellow,0,1,0,6,10,9,,,0.760999999999967,NaN,1.10500000000002,0.134999999999991,T130925
0,0,1,purple,,1,0,1,4,10,6,,,1.39499999999998,0.341000000000122,NaN,NaN,T130925
0,0,1,purple,,1,0,1,2,1,1,,,1.69799999999987,0.295000000000073,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.39599999999996,NaN,1.10500000000002,0.317999999999984,T130925
0,0,1,purple,,1,0,1,2,5,2,,,0.759999999999991,0.361999999999853,NaN,NaN,T130925
1,0,0,,,0,0,NaN,4,10,6,,,NaN,NaN,NaN,NaN,T130925
0,1,1,yellow,,1,0,0,4,10,6,,,1.07799999999997,0.459999999999809,NaN,NaN,T130925
0,0,1,yellow,,1,0,0,4,10,6,,,2.01099999999997,0.269000000000005,NaN,NaN,T130925
0,0,1,purple,,1,0,1,6,10,9,,,1.07799999999997,0.940000000000055,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.69600000000014,NaN,1.10799999999995,0.281999999999925,T130925
0,0,1,yellow,,1,0,0,6,5,8,,,1.38399999999979,0.939000000000078,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.71299999999997,NaN,1.10400000000004,0.278999999999996,T130925
0,0,1,purple,,1,0,1,2,10,3,,,0.759999999999991,0.355000000000018,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,6,1,7,,,2.00999999999999,NaN,1.1110000000001,0.323000000000093,T130925
1,0,0,,,0,0,NaN,2,5,2,,,NaN,NaN,NaN,NaN,T130925
0,1,1,purple,,1,0,1,2,5,2,,,1.07799999999997,0.27800000000002,NaN,NaN,T130925
0,0,1,purple,,1,0,1,4,5,5,,,1.38499999999999,0.317999999999984,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,4,5,5,,,0.760999999999967,NaN,1.10500000000002,0.341999999999871,T130925
0,0,1,purple,,1,0,1,4,5,5,,,1.39499999999998,0.396000000000186,NaN,NaN,T130925
0,0,1,yellow,purple,0,1,1,6,5,8,,,0.759999999999991,NaN,1.11000000000013,0.378999999999905,T130925
0,0,1,yellow,purple,0,1,1,4,1,4,,,2.01099999999997,NaN,1.1110000000001,0.288000000000011,T130925
0,0,1,purple,,1,0,1,4,5,5,,,1.69699999999989,0.345000000000027,NaN,NaN,T130925
0,0,1,purple,,1,0,1,4,1,4,,,0.77800000000002,0.278999999999996,NaN,NaN,T130925
0,0,1,yellow,,1,0,0,6,10,9,,,1.07099999999991,0.921000000000049,NaN,NaN,T130925
