is_error,is_post_error,is_complete,cue1,cue2,release1,release2,choice,drop,delay,condition,rt_bar2red,rt_red2cue,rt_cueon_to_cue1,rt_release1,rt_cue1_to_cue2,rt_release2,filename
0,0,0,,,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,S160530
0,0,1,yellow,purple,0,1,1,2,1,1,,,2.01973333333333,NaN,1.11883333333333,0.414933333333333,S160530
0,0,1,yellow,purple,0,1,1,4,1,4,,,1.08486666666667,NaN,1.11883333333333,0.357933333333333,S160530
0,0,1,yellow,,1,0,0,2,10,3,,,1.70273333333333,0.377066666666664,NaN,NaN,S160530
0,0,1,purple,,1,0,1,4,10,6,,,1.3848,0.446933333333334,NaN,NaN,S160530
0,0,1,purple,,1,0,1,4,5,5,,,1.70276666666667,0.447899999999997,NaN,NaN,S160530
1,0,0,purple,yellow,0,0,NaN,2,10,3,,,0.7669,NaN,1.11883333333333,NaN,S160530
0,1,1,purple,yellow,0,1,0,2,10,3,,,2.0197,NaN,1.11883333333333,0.327066666666667,S160530
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.70176666666667,NaN,1.11883333333333,0.555899999999994,S160530
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.08383333333333,NaN,1.11886666666667,0.494900000000001,S160530
0,0,1,purple,,1,0,1,2,5,2,,,1.3858,0.395933333333332,NaN,NaN,S160530
0,0,1,purple,,1,0,1,6,1,7,,,0.766900000000007,0.552899999999994,NaN,NaN,S160530
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.3848,NaN,1.11883333333334,0.358933333333326,S160530
0,0,1,purple,,1,0,1,4,1,4,,,0.766899999999993,0.521933333333337,NaN,NaN,S160530
0,0,1,purple,,1,0,1,2,10,3,,,2.0197,0.737899999999996,NaN,NaN,S160530
0,0,1,purple,,1,0,1,4,10,6,,,1.70273333333334,0.399933333333337,NaN,NaN,S160530
0,0,1,purple,,1,0,1,4,10,6,,,0.766900000000007,0.33893333333333,NaN,NaN,S160530
0,0,1,yellow,,1,0,0,6,10,9,,,1.08383333333333,0.613033333333334,NaN,NaN,S160530
0,0,1,purple,,1,0,1,4,10,6,,,1.40180000000001,0.527899999999988,NaN,NaN,S160530
0,0,1,purple,,1,0,1,6,1,7,,,2.0197,0.420933333333323,NaN,NaN,S160530
0,0,1,purple,,1,0,1,4,5,5,,,1.08486666666667,0.542900000000003,NaN,NaN,S160530
0,0,1,yellow,purple,0,1,1,6,10,9,,,1.08386666666667,NaN,1.11883333333333,0.380933333333331,S160530
0,0,1,yellow,purple,0,1,1,2,10,3,,,1.70176666666666,NaN,1.11883333333333,0.289966666666686,S160530
0,0,1,purple,,1,0,1,6,10,9,,,0.766899999999993,0.607900000000001,NaN,NaN,S160530
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.38479999999998,NaN,1.11883333333336,0.472933333333316,S160530
0,0,1,purple,yellow,0,1,0,2,10,3,,,2.0197,NaN,1.11883333333333,0.433066666666662,S160530
0,0,1,yellow,purple,0,1,1,6,10,9,,,2.0197,NaN,1.11886666666666,0.552900000000022,S160530
0,0,1,yellow,purple,0,1,1,6,1,7,,,0.766866666666687,NaN,1.11886666666666,0.71586666666667,S160530
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.38483333333332,NaN,1.11880000000002,0.793900000000008,S160530
0,0,1,purple,yellow,0,1,0,2,10,3,,,1.70276666666666,NaN,1.11883333333333,0.387066666666669,S160530
0,0,1,yellow,purple,0,1,1,2,5,2,,,2.0197,NaN,1.11883333333333,0.704900000000009,S160530
0,0,1,yellow,purple,0,1,1,2,10,3,,,1.38479999999998,NaN,1.11883333333333,0.579900000000009,S160530
0,0,1,purple,,1,0,1,6,1,7,,,1.38579999999996,0.514900000000011,NaN,NaN,S160530
0,0,1,purple,,1,0,1,4,1,4,,,1.70276666666666,0.395933333333346,NaN,NaN,S160530
0,0,1,purple,,1,0,1,6,1,7,,,0.766866666666658,0.508933333333346,NaN,NaN,S160530
0,0,1,yellow,purple,0,1,1,2,5,2,,,1.70276666666666,NaN,1.11883333333333,0.672900000000027,S160530
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.0848666666667,NaN,1.11883333333333,0.342966666666655,S160530
0,0,1,purple,,1,0,1,6,10,9,,,1.38479999999998,0.471933333333368,NaN,NaN,S160530
0,0,1,yellow,purple,0,1,1,4,10,6,,,2.0197,NaN,1.11883333333333,0.367966666666632,S160530
0,0,1,purple,,1,0,1,4,1,4,,,1.0848666666667,0.399933333333308,NaN,NaN,S160530
0,0,1,purple,,1,0,1,2,5,2,,,1.70276666666666,0.397933333333356,NaN,NaN,S160530
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.38580000000002,NaN,1.11883333333333,0.413933333333318,S160530
0,0,1,yellow,purple,0,1,1,2,5,2,,,2.01966666666669,NaN,1.11883333333333,0.334966666666674,S160530
0,0,1,yellow,purple,0,1,1,4,1,4,,,1.38480000000004,NaN,1.11886666666663,0.335933333333344,S160530
0,0,1,yellow,purple,0,1,1,2,5,2,,,0.766866666666658,NaN,1.11883333333333,0.448933333333343,S160530
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.08483333333334,NaN,1.11883333333333,0.343933333333325,S160530
