is_error,is_post_error,is_complete,cue1,cue2,release1,release2,choice,drop,delay,condition,rt_bar2red,rt_red2cue,rt_cueon_to_cue1,rt_release1,rt_cue1_to_cue2,rt_release2,filename
1,0,0,purple,yellow,0,0,NaN,6,1,7,,,0.766900000000001,NaN,1.11883333333333,NaN,S160707
1,1,0,,,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,S160707
0,1,1,purple,,1,0,1,6,1,7,,,1.3848,0.5459,NaN,NaN,S160707
0,0,1,purple,,1,0,1,6,5,8,,,1.08483333333333,0.575933333333332,NaN,NaN,S160707
0,0,1,yellow,purple,0,1,1,4,1,4,,,2.0197,NaN,1.11886666666667,0.340933333333332,S160707
0,0,1,yellow,,1,0,0,6,10,9,,,1.08486666666666,0.389033333333337,NaN,NaN,S160707
0,0,1,purple,,1,0,1,4,5,5,,,1.70273333333333,0.401933333333339,NaN,NaN,S160707
0,0,1,purple,yellow,0,1,0,6,10,9,,,1.38480000000001,NaN,1.11883333333333,0.334066666666672,S160707
0,0,1,purple,yellow,0,1,0,4,10,6,,,1.70176666666666,NaN,1.11883333333333,0.362066666666664,S160707
1,0,0,,,0,0,NaN,2,1,1,,,NaN,NaN,NaN,NaN,S160707
1,1,0,,,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,S160707
1,1,0,,,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,S160707
0,1,1,yellow,purple,0,1,1,2,1,1,,,2.01973333333333,NaN,1.11883333333333,0.310933333333338,S160707
1,0,0,purple,,0,0,NaN,2,5,2,,,1.70273333333334,NaN,NaN,NaN,S160707
1,1,0,,,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,S160707
0,1,1,purple,yellow,0,1,0,2,5,2,,,1.08483333333334,NaN,1.11883333333333,0.355066666666673,S160707
1,0,0,,,0,0,NaN,2,10,3,,,NaN,NaN,NaN,NaN,S160707
1,1,0,yellow,purple,0,0,NaN,2,10,3,,,0.766899999999993,NaN,1.11883333333334,NaN,S160707
0,1,1,yellow,,1,0,0,2,10,3,,,1.38579999999999,0.820966666666678,NaN,NaN,S160707
0,0,1,purple,,1,0,1,4,5,5,,,0.766900000000007,0.456933333333325,NaN,NaN,S160707
0,0,1,yellow,purple,0,1,1,4,5,5,,,2.01973333333333,NaN,1.11883333333333,0.356933333333345,S160707
0,0,1,yellow,purple,0,1,1,4,1,4,,,1.70273333333333,NaN,1.11886666666666,0.313933333333338,S160707
0,0,1,yellow,purple,0,1,1,2,1,1,,,0.766866666666672,NaN,1.11883333333334,0.317966666666649,S160707
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.08483333333334,NaN,1.11883333333336,0.32893333333331,S160707
0,0,1,purple,yellow,0,1,0,2,10,3,,,1.38480000000001,NaN,1.11983333333333,0.37106666666665,S160707
1,0,0,,,0,0,NaN,6,1,7,,,NaN,NaN,NaN,NaN,S160707
0,1,1,purple,,1,0,1,6,1,7,,,1.08486666666667,0.384900000000016,NaN,NaN,S160707
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.08483333333331,NaN,1.11883333333336,0.291966666666667,S160707
1,0,0,,,0,0,NaN,2,10,3,,,NaN,NaN,NaN,NaN,S160707
1,1,0,yellow,purple,0,0,NaN,2,10,3,,,0.766899999999993,NaN,1.11886666666666,NaN,S160707
0,1,1,yellow,,1,0,0,2,10,3,,,1.38483333333335,0.406033333333312,NaN,NaN,S160707
0,0,1,yellow,purple,0,1,1,4,1,4,,,2.01973333333333,NaN,1.11883333333333,0.317933333333315,S160707
0,0,1,purple,yellow,0,1,0,4,10,6,,,2.0197,NaN,1.11886666666666,0.366066666666654,S160707
1,0,0,yellow,purple,0,0,NaN,4,10,6,,,0.766899999999993,NaN,1.11883333333333,NaN,S160707
0,1,1,yellow,,1,0,0,4,10,6,,,1.38479999999998,0.365100000000012,NaN,NaN,S160707
0,0,1,purple,,1,0,1,2,5,2,,,1.70176666666666,0.659899999999993,NaN,NaN,S160707
0,0,1,purple,,1,0,1,4,1,4,,,2.0197,0.398966666666666,NaN,NaN,S160707
0,0,1,purple,,1,0,1,4,1,4,,,1.38579999999999,0.424933333333342,NaN,NaN,S160707
0,0,1,purple,,1,0,1,6,1,7,,,1.38579999999999,0.417933333333337,NaN,NaN,S160707
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.70276666666666,NaN,1.11883333333333,0.330966666666683,S160707
1,0,0,,,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,S160707
1,1,0,purple,,0,0,NaN,4,5,5,,,0.767866666666663,NaN,NaN,NaN,S160707
0,1,1,purple,,1,0,1,4,5,5,,,1.70173333333332,0.465933333333339,NaN,NaN,S160707
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.08486666666667,NaN,1.11883333333333,0.333933333333334,S160707
0,0,1,purple,,1,0,1,6,10,9,,,1.38479999999998,0.49290000000002,NaN,NaN,S160707
0,0,1,yellow,,1,0,0,2,5,2,,,2.0197,0.457066666666663,NaN,NaN,S160707
0,0,1,yellow,,1,0,0,4,10,6,,,1.08483333333334,0.424066666666704,NaN,NaN,S160707
1,0,0,,,0,0,NaN,2,10,3,,,NaN,NaN,NaN,NaN,S160707
0,1,1,purple,yellow,0,1,0,2,10,3,,,1.38479999999998,NaN,1.11886666666669,0.35706666666664,S160707
1,0,0,,,0,0,NaN,4,5,5,,,NaN,NaN,NaN,NaN,S160707
1,1,0,yellow,,0,0,NaN,4,5,5,,,1.38479999999998,NaN,NaN,NaN,S160707
0,1,1,yellow,purple,0,1,1,4,5,5,,,0.766899999999964,NaN,1.11983333333336,0.327966666666669,S160707
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.08483333333334,NaN,1.11886666666669,0.359933333333345,S160707
0,0,1,purple,,1,0,1,6,1,7,,,0.766900000000021,0.415933333333328,NaN,NaN,S160707
1,0,0,,,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,S160707
0,1,1,purple,,1,0,1,2,1,1,,,1.70273333333336,0.425966666666625,NaN,NaN,S160707
1,0,0,yellow,,0,0,NaN,6,5,8,,,2.0197,NaN,NaN,NaN,S160707
0,1,1,yellow,purple,0,1,1,6,5,8,,,0.766900000000021,NaN,1.11883333333333,0.342933333333349,S160707
0,0,1,purple,,1,0,1,6,5,8,,,1.38480000000004,0.481899999999996,NaN,NaN,S160707
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.70276666666666,NaN,1.11883333333333,0.337933333333353,S160707
0,0,1,purple,,1,0,1,2,1,1,,,1.40179999999998,0.438933333333352,NaN,NaN,S160707
0,0,1,yellow,purple,0,1,1,2,5,2,,,0.766900000000021,NaN,1.11883333333333,0.502933333333317,S160707
0,0,1,yellow,,1,0,0,6,10,9,,,1.38479999999998,0.39906666666667,NaN,NaN,S160707
1,0,0,,,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,S160707
0,1,1,purple,,1,0,1,6,1,7,,,1.08386666666667,0.427933333333328,NaN,NaN,S160707
0,0,1,yellow,,1,0,0,4,10,6,,,2.01869999999997,0.335066666666705,NaN,NaN,S160707
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.08486666666664,NaN,1.11883333333333,0.341933333333373,S160707
1,0,0,,,0,0,NaN,2,10,3,,,NaN,NaN,NaN,NaN,S160707
0,1,1,purple,yellow,0,1,0,2,10,3,,,1.38479999999998,NaN,1.11883333333338,0.353099999999984,S160707
0,0,1,yellow,,1,0,0,6,10,9,,,1.70276666666666,0.375066666666669,NaN,NaN,S160707
0,0,1,yellow,purple,0,1,1,4,1,4,,,0.766899999999964,NaN,1.11883333333338,0.324966666666626,S160707
0,0,1,yellow,,1,0,0,2,5,2,,,2.01973333333331,0.504033333333325,NaN,NaN,S160707
0,0,1,purple,yellow,0,1,0,4,10,6,,,1.70176666666663,NaN,1.11883333333333,0.317066666666676,S160707
