cellID,animal,session,drop,delay,drop*delay,choice,perc_significant
1,S,S160530,7.8169999118215e-45,0.00073310367969727,3.14144934964442e-12,0.0850568195158504,1
2,S,S160530,0.538108945318818,0.293979509472798,0.166328181266886,0.439465669238178,0
5,S,S160530,0.158849031383127,0.311825005872141,0.0360168782165127,0.330130483037905,1
6,S,S160530,0.174101270609438,0.454645466859684,0.158588678706323,0.667583022997719,0
7,S,S160530,0.58065233578109,0.149763931672507,0.377527426899707,0.125139101967322,0
8,S,S160530,0.30262463181422,0.0736488830011352,0.707226199514539,0.84894063800187,0
9,S,S160531,9.60723252452303e-64,3.14231131572737e-14,3.25045881920164e-05,0.938053374665235,1
10,S,S160531,0.104832823573137,0.4046916505484,0.235846417723858,0.354605960271795,0
11,S,S160531,0.0439999697511963,0.0392739372056611,0.00181782969076751,0.861447333419986,1
12,S,S160531,2.69068235576481e-07,7.19210032315334e-09,0.0558483422970807,0.868140544401965,1
13,S,S160531,0.951168901523065,0.634730336817808,0.758972007885361,0.783596193880139,0
14,S,S160531,0.605787201773913,0.991379112268876,0.531793416598722,0.56240868536048,0
15,S,S160531,0.0367446990001107,0.0174369073209434,0.020873460168348,0.0950838081944071,1
16,S,S160531,0.729914915618843,0.457838139151842,0.331771401217572,0.709249872697479,0
18,S,S160531,0.637021336229272,0.104255947827473,0.861624982525935,0.335743461234017,0
19,S,S160701,0.0696670207917293,0.0194322190464316,0.330925233097717,0.827078117403224,1
20,S,S160701,0.0178124635500732,0.820060505521113,0.0144469371663305,0.63864101268157,1
21,S,S160701,0.033992211937965,0.867141483639449,0.0221931506887961,0.739388324358878,1
22,S,S160701,0.0509618181968286,0.0111197705201546,0.0315879793064521,0.274805612045279,1
23,S,S160701,0.346962584589168,0.964199660425901,0.11523932082025,0.97731278417631,0
26,S,S160701,0.0613892718232541,0.981453543230768,0.238232304285769,0.341406092793774,0
27,S,S160701,0.272013845015528,0.983982867690093,0.0464102580412681,0.680794913689099,1
28,S,S160701,0.00713503607871788,0.258371054501895,0.125075075192501,0.878347261580426,1
29,S,S160701,0.714530833464109,0.00269300744111748,0.770662640332932,0.123598235692102,1
31,S,S160704,0.249211957689266,0.781592415141259,0.0315376940416614,0.421062073080514,1
32,S,S160704,0.752566525756937,0.766102192041557,0.335037482157397,0.244976359229163,0
33,S,S160704,0.313872851562675,0.507537086598725,0.203208574981477,0.841466954471223,0
34,S,S160705,0.808322689599642,0.441942788669823,0.651536365105678,0.496173697146216,0
35,S,S160705,0.198697388737421,0.460795258999595,0.0400758958466666,0.234110847259995,1
36,S,S160705,0.0566191258792612,0.474285676607644,0.437414472124025,0.414872740547126,0
37,S,S160707,0.378046586144077,0.000391039081560141,7.27610926286337e-12,0.628667563541023,1
38,S,S160707,1.09895480330099e-32,0.952828359016482,1.67942705617634e-05,0.0688464241412804,1
39,S,S160708,0.205935793182665,0.00225514475132038,0.0275776025820005,0.991149024112948,1
40,S,S160708,0.685666188189099,0.00760120901128004,0.848624784536581,0.0702268846637985,1
42,S,S160708,3.94360237350467e-13,5.21270344692192e-06,3.5247236384722e-05,0.00724106349436435,1
43,S,S160708,0.066979570977612,4.29506882595558e-08,0.103723029866925,0.0605565842661732,1
44,S,S160709,0.139656942000567,0.240193697264392,0.125200103965053,0.717854088076822,0
45,S,S160709,0.681555064268205,0.500902193536748,0.889009756372487,0.490064220872306,0
46,S,S160709,0.0778850084270191,0.0431216179950841,0.0676585687496089,0.0132804060818664,1
47,S,S160709,0.304875148080627,0.000813391749948552,0.0584506916750158,0.765601466471048,1
48,S,S160709,0.0253884503417923,0.00124148853884057,0.0574524352402098,0.84043110576753,1
49,S,S160709,8.83345888837606e-13,1.09078675774448e-09,1.68554251729606e-13,0.114231317817542,1
50,S,S160709,0.879948177127307,0.46559869104971,0.0376524007933741,0.0837356437848083,1
52,S,S160711,6.73920857931393e-16,4.42853441825391e-08,1.99837872463835e-05,0.414988361326715,1
53,S,S160711,4.68108233916841e-28,5.04554747262371e-24,2.7156250252406e-09,0.794795166285249,1
54,S,S160711,0.168527530127823,0.00368953639348717,0.416345674298041,0.766869693845243,1
56,S,S160712,2.25347786258728e-35,2.50896997611144e-15,6.37020177205111e-34,0.731939680779667,1
